trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.001, 'e': 0.996304278638842}",25,0,-195.076415030392,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
87,False,"{'a': 0.001, 'e': 0.9962178864711978}",20,0,-127.41932974154952,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.001, 'e': 0.9961304980857502}",20,0,-102.1193378082936,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.9960421135698875}",20,1,-111.98374533607496,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
90,False,"{'a': 0.001, 'e': 0.9959527330119943}",30,0,-207.83672481269775,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
91,False,"{'a': 0.001, 'e': 0.9958623565014509}",20,0,-66.87060971122713,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
92,False,"{'a': 0.001, 'e': 0.9957709841286342}",20,0,-166.5705618716283,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9956786159849162}",20,0,-134.91686932066793,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
94,False,"{'a': 0.001, 'e': 0.9955852521626654}",20,6,-124.57883926139785,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 2}",1
95,False,"{'a': 0.001, 'e': 0.9954908927552453}",20,0,-64.21470165176265,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.9953955378570153}",25,0,-172.79941521355477,"{0: 8, 1: 4, 2: 10, 3: 3, 4: 0}",0
97,False,"{'a': 0.001, 'e': 0.9952991875633305}",30,0,-213.65406408631418,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
98,False,"{'a': 0.001, 'e': 0.995201841970541}",20,0,-107.37926891825984,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.9951035011759926}",25,0,-139.76839264978483,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
100,False,"{'a': 0.001, 'e': 0.9950041652780258}",20,0,-119.303751961663,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.001, 'e': 0.9949038343759766}",20,2,-94.40601430256233,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
102,False,"{'a': 0.001, 'e': 0.994802508570176}",20,0,-96.52852176882877,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.9947001879619498}",20,0,-197.20476261927817,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
104,False,"{'a': 0.001, 'e': 0.9945968726536185}",30,0,-106.13595122169536,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
105,False,"{'a': 0.001, 'e': 0.9944925627484974}",25,0,-142.58508089242272,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
106,False,"{'a': 0.001, 'e': 0.9943872583508965}",30,0,-148.25331946207422,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
107,False,"{'a': 0.001, 'e': 0.9942809595661201}",25,0,-147.27844641401467,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
108,False,"{'a': 0.001, 'e': 0.9941736665004669}",20,0,-241.89274206457358,"{0: 6, 1: 4, 2: 3, 3: 4, 4: 3}",0
109,False,"{'a': 0.001, 'e': 0.9940653792612301}",30,0,-109.83607615262225,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",1
110,False,"{'a': 0.001, 'e': 0.9939560979566968}",30,0,-174.68543112597558,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
111,False,"{'a': 0.001, 'e': 0.9938458226961485}",20,0,-213.15430595234537,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
112,False,"{'a': 0.001, 'e': 0.9937345535898603}",20,0,-90.39862340963,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
113,False,"{'a': 0.001, 'e': 0.9936222907491012}",20,0,-42.449617138761134,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.001, 'e': 0.9935090342861342}",20,0,-59.0140096731289,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.001, 'e': 0.9933947843142158}",20,0,-163.88219703903468,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
116,False,"{'a': 0.001, 'e': 0.9932795409475959}",20,0,-136.02547736664323,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
117,False,"{'a': 0.001, 'e': 0.9931633043015177}",20,0,-119.3569747145614,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
118,False,"{'a': 0.001, 'e': 0.993046074492218}",20,0,-161.2463354125232,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
119,False,"{'a': 0.001, 'e': 0.9929278516369265}",30,0,-207.1466572364171,"{0: 11, 1: 6, 2: 11, 3: 0, 4: 2}",0
120,False,"{'a': 0.001, 'e': 0.9928086358538663}",30,0,-175.83940166841091,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
121,False,"{'a': 0.001, 'e': 0.9926884272622528}",30,0,-98.56231088828235,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
122,False,"{'a': 0.001, 'e': 0.9925672259822949}",20,0,-132.54681003955974,"{0: 9, 1: 6, 2: 1, 3: 3, 4: 1}",0
123,False,"{'a': 0.001, 'e': 0.9924450321351935}",20,0,-190.5624213582751,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
124,False,"{'a': 0.001, 'e': 0.9923218458431429}",30,0,-204.5923202771904,"{0: 13, 1: 2, 2: 11, 3: 3, 4: 1}",0
125,False,"{'a': 0.001, 'e': 0.992197667229329}",20,0,-140.24835815757075,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
126,False,"{'a': 0.001, 'e': 0.9920724964179307}",25,13,-36.03494352976256,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
