trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,3,-118.0651555849714,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 3}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,12,-54.910997617736705,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-125.03827331513018,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-101.8523841480713,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,9,-65.66487358728108,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,8,1.1726660194080958,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-104.11108863655718,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-15.67832583538333,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-85.54847063038649,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-25.77040060703937,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",25,0,-84.28873995557169,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-139.41426676943408,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-40.27207823920973,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-43.42656263973994,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-0.5589027509759203,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-162.9728014065169,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-53.509013428881694,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",25,0,-68.47335835249476,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-132.59242328402127,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-79.23456256362019,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-109.41501406426055,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,-198.6655054596865,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-137.80329803392905,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,17,-16.474777414878535,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-87.47872454449359,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,5,-30.837406182843413,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
